"service","spkts","sbytes","sttl","smean","attack_cat"
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Exploits
http,LOW,HIGH,HIGH,HIGH,Exploits
http,LOW,HIGH,MED,HIGH,Exploits
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
dns,LOW,LOW,HIGH,LOW,Generic
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
ftp,HIGH,HIGH,LOW,LOW,Normal
ftp,HIGH,HIGH,LOW,LOW,Normal
http,HIGH,HIGH,LOW,HIGH,Normal
dns,LOW,LOW,LOW,LOW,Normal
dns,LOW,LOW,LOW,LOW,Normal
dns,LOW,LOW,LOW,LOW,Normal
dns,LOW,LOW,LOW,LOW,Normal
dns,LOW,LOW,LOW,LOW,Normal
dns,LOW,LOW,LOW,LOW,Normal
http,HIGH,HIGH,HIGH,HIGH,Exploits
http,LOW,HIGH,MED,LOW,Exploits
dns,LOW,HIGH,HIGH,HIGH,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,HIGH,HIGH,Fuzzers
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,MED,LOW,Exploits
http,LOW,HIGH,HIGH,LOW,Fuzzers
http,LOW,HIGH,HIGH,LOW,Fuzzers
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,MED,LOW,Exploits
http,LOW,HIGH,MED,LOW,Exploits
ftp,LOW,HIGH,MED,LOW,Exploits
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,LOW,LOW,Generic
ftp,LOW,HIGH,HIGH,HIGH,Exploits
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,HIGH,LOW,Exploits
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,MED,LOW,Exploits
http,LOW,HIGH,LOW,HIGH,Normal
http,LOW,HIGH,MED,LOW,Normal
dns,LOW,LOW,LOW,LOW,Generic
http,LOW,HIGH,MED,LOW,Exploits
http,LOW,HIGH,HIGH,HIGH,Exploits
http,LOW,HIGH,MED,LOW,Exploits
ftp,LOW,HIGH,HIGH,LOW,Normal
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,LOW,HIGH,MED,LOW,Exploits
http,LOW,HIGH,LOW,HIGH,Normal
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,HIGH,HIGH,LOW,LOW,Normal
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
ftp,HIGH,HIGH,LOW,LOW,Normal
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,MED,LOW,Normal
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
dns,LOW,LOW,HIGH,LOW,Generic
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
ftp,LOW,HIGH,HIGH,LOW,Exploits
ftp,LOW,HIGH,HIGH,LOW,Exploits
ftp,LOW,HIGH,HIGH,LOW,Exploits
http,HIGH,HIGH,HIGH,LOW,Exploits
http,LOW,HIGH,MED,LOW,Normal
http,LOW,HIGH,MED,LOW,Normal
ftp,LOW,HIGH,HIGH,LOW,Normal
ftp,LOW,HIGH,HIGH,HIGH,Exploits
http,LOW,HIGH,MED,LOW,Normal
ftp,LOW,HIGH,HIGH,LOW,Fuzzers
